"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"bicicleta",1,1,"Diez-Alamo2018a",6.8,"bike","core",TRUE
"clavel",1,1,"Hinojosa2016a",6.75,NA,"core",TRUE
"verruga",1,1,"Guasch2016",7,"wart","core",TRUE
"pelo",0.999005964214712,1,"Davis2005a",6.723,NA,"core",TRUE
"orina",0.998478538054374,2,"Davis2005a;Duchon2013",6.72,NA,"core",TRUE
"sofá",0.994798056437065,3,"Davis2005a;Diez-Alamo2018a;Duchon2013",6.71266666666667,"sofa","core",TRUE
"paracaídas",0.994657168299199,1,"Guasch2016",6.9,"parachute","core",TRUE
"tobillo",0.994657168299199,1,"Guasch2016",6.9,"ankle","core",TRUE
"autobús",0.9942681069565,4,"Davis2005a;Diez-Alamo2018a;Duchon2013;Guasch2016",6.739,"bus","core",TRUE
"orquídea",0.994169096209913,1,"Hinojosa2016a",6.65,NA,"core",TRUE
"noviembre",0.993356317789466,2,"Davis2005a;Duchon2013",6.666,NA,"core",TRUE
"microscopio",0.993349329006918,4,"Davis2005a;Diez-Alamo2018a;Duchon2013;Guasch2016",6.755,"microscope","core",TRUE
"catedral",0.992990654205608,1,"Diez-Alamo2018a",6.72,"cathedral","core",TRUE
"motosierra",0.992430988423865,1,"Guasch2016",6.85,"chainsaw","core",TRUE
"tiburón",0.992430988423865,1,"Guasch2016",6.85,"shark","core",TRUE
"tumbona",0.991253644314869,1,"Hinojosa2016a",6.6,NA,"core",TRUE
"Calculadora",0.991071428571429,1,"Ferre2012",8.56,NA,"core",TRUE
"hospital",0.989785967737877,2,"Davis2005a;Duchon2013",6.609,NA,"core",TRUE
"condón",0.989759572573464,1,"Guasch2016",6.82,"condom","core",TRUE
"limón",0.989759572573464,1,"Guasch2016",6.82,"lemon","core",TRUE
"mejilla",0.987737079631913,2,"Davis2005a;Duchon2013",6.574,NA,"core",TRUE
"mechero",0.987204667071679,2,"Diez-Alamo2018a;Guasch2016",6.8,"lighter","core",TRUE
"pene",0.9863623558398,3,"Davis2005a;Duchon2013;Guasch2016",6.65066666666667,"penis","core",TRUE
"ambulancia",0.985307212822796,1,"Guasch2016",6.8,"ambulance","core",TRUE
"semáforo",0.985307212822796,1,"Guasch2016",6.8,"semaphore","core",TRUE
"espalda",0.983639303419986,2,"Davis2005a;Duchon2013",6.564,NA,"core",TRUE
"piano",0.983161888064073,3,"Davis2005a;Diez-Alamo2018a;Duchon2013",6.578,"piano","core",TRUE
"marinero",0.982614859367005,2,"Davis2005a;Duchon2013",6.558,NA,"core",TRUE
"tractor",0.981745325022262,1,"Guasch2016",6.77,"tractor","core",TRUE
"mujer",0.980565971261041,2,"Davis2005a;Duchon2013",6.546,NA,"core",TRUE
"peine",0.980140186915888,1,"Diez-Alamo2018a",6.67,"comb","core",TRUE
"zanahoria",0.980140186915888,1,"Diez-Alamo2018a",6.67,"carrot","core",TRUE
"miel",0.979180820683368,3,"Davis2005a;Duchon2013;Guasch2016",6.64333333333333,"honey","core",TRUE
"camarero",0.979029305181569,2,"Davis2005a;Duchon2013",6.542,NA,"core",TRUE
"Calcetín",0.977678571428571,1,"Ferre2012",8.52,NA,"core",TRUE
"Jirafa",0.977678571428571,1,"Ferre2012",8.52,NA,"core",TRUE
"azúcar",0.976980417075605,2,"Davis2005a;Duchon2013",6.538,NA,"core",TRUE
"telescopio",0.976208567746309,3,"Davis2005a;Duchon2013;Guasch2016",6.60333333333333,"telescope","core",TRUE
"hormiga",0.975655292452339,3,"Davis2005a;Diez-Alamo2018a;Duchon2013",6.55066666666667,"ant","core",TRUE
"bombero",0.974176313446126,1,"Guasch2016",6.75,"firefighter","core",TRUE
"bandera",0.97339486289017,2,"Davis2005a;Duchon2013",6.522,NA,"core",TRUE
"comadrona",0.972395369545859,1,"Guasch2016",6.74,"midwife","core",TRUE
"calavera",0.970845481049563,1,"Hinojosa2016a",6.46,NA,"core",TRUE
"rata",0.970245511695263,3,"Davis2005a;Diez-Alamo2018a;Duchon2013",6.53866666666667,"rat","core",TRUE
"tarántula",0.970169189670525,1,"Guasch2016",6.73,"tarantula","core",TRUE
"folio",0.969626168224299,1,"Diez-Alamo2018a",6.57,"sheet","core",TRUE
"paella",0.967930029154519,1,"Hinojosa2016a",6.45,NA,"core",TRUE
